"性","セイ","名","メイ","年齢","年齢階層","性別","身長","体重","bmi","所在地","最終学歴","専攻学科","職業","給料","配偶状況","初婚年齢","喫煙","飲酒","生活満足度"
"上之門","かみのかど","麻佐翔","まさと",54,"50-54","男",166.1,78.6,28.5,"福岡県","高校・旧中","なし","生産工程従事者","300万円～","有配偶",32,"吸わない","毎日","やや満足"
"穴光","あなみつ","嘉為","かい",69,"65-69","男",174.5,79.2,26,"千葉県","短大・高専","短大 社会","無職その他","500万円～","有配偶",25,"毎日吸っている","やめた","やや満足"
"糸矢","いとや","太摩子","たまこ",36,"35-39","女",155.3,46.5,19.3,"東京都","短大・高専","短大 保健","サービス職業従事者","200万円～","有配偶",27,"吸わない","飲まない (飲めない)","不満だ"
"藤広","ふじひろ","奈夢","なゆ",68,"65-69","女",159.4,54.6,21.5,"岐阜県","高校・旧中","なし","無職その他","600万円～","有配偶",27,"吸わない","飲まない (飲めない)","やや満足"
"木藤","きどう","昇幸","のりゆき",32,"30-34","男",176.4,64.1,20.6,"鹿児島県","大学・大学院","大学 保健","生産工程従事者","300万円～","未婚",NA,"毎日吸っている","週１-２日","やや不満だ"
"成実","なるみ","丈之進","じょうのしん",56,"55-59","男",167.5,56.1,20,"東京都","高校・旧中","なし","農林漁業従事者","400万円～","有配偶",26,"時々吸う日がある","ほとんど飲まない","やや満足"
"戸高","とだか","苑","えん",76,"75-79","女",155.6,65.9,27.2,"北海道","小学校・中学校","なし","無職その他","600万円～","有配偶",25,"吸わない","飲まない (飲めない)","やや満足"
"羽角","はすみ","摩君朗","まくろ",32,"30-34","男",172.8,79.1,26.5,"東京都","高校・旧中","なし","生産工程従事者","600万円～","有配偶",27,"吸わない","ほとんど飲まない","満足"
"加賀澤","かがさわ","里桜","りか",23,"20-24","女",169.6,44.3,15.4,"埼玉県","短大・高専","短大 人文","運搬・清掃・包装等従事者","100万円～","未婚",NA,"吸わない","飲まない (飲めない)","やや満足"
"伊五澤","いごさわ","葵咲楽","きさら",54,"50-54","女",156.1,37.5,15.4,"愛知県","短大・高専","短大 保健","専門的・技術的職業従事者","100万円～","有配偶",30,"吸わない","飲まない (飲めない)","満足"
"外子浦","げしうら","叶莉","きょうり",60,"60-64","女",152.3,53.3,23,"静岡県","小学校・中学校","なし","無職その他","300万円～","死別",27,"吸わない","毎日","やや不満だ"
"遠沢","えんざわ","衣千加","いちか",89,"85-89","女",158.7,48.6,19.3,"大阪府","小学校・中学校","なし","無職その他","200万円～","死別",21,"吸わない","ほとんど飲まない","満足"
"宮辺","みやべ","東摩","とうま",42,"40-44","男",181,80.9,24.7,"三重県","高校・旧中","なし","生産工程従事者","500万円～","有配偶",27,"毎日吸っている","ほとんど飲まない","どちらともいえない"
"重実","しげみ","義人","よしと",45,"45-49","男",171.5,74.1,25.2,"神奈川県","高校・旧中","なし","事務従事者","300万円～","有配偶",26,"吸わない","ほとんど飲まない","やや満足"
"貴嶋","きしま","独","ひとり",43,"40-44","男",180,82,25.3,"兵庫県","高校・旧中","なし","建設・採掘従事者","200万円～","有配偶",25,"毎日吸っている","ほとんど飲まない","やや不満だ"
"村寿","むらじゅ","核旨","さねむね",79,"75-79","男",149.2,32.1,14.4,"静岡県","小学校・中学校","なし","無職その他","100万円～","有配偶",22,"吸わない","毎日","やや満足"
"長根","ながね","雛華","ひなか",63,"60-64","女",151.8,49.5,21.5,"神奈川県","短大・高専","短大 教育","サービス職業従事者","400万円～","有配偶",23,"吸わない","飲まない (飲めない)","やや満足"
"加堂","かどう","歩","あゆみ",46,"45-49","女",154.9,35.5,14.8,"東京都","短大・高専","短大 家政","サービス職業従事者","500万円～","有配偶",25,"吸わない","飲まない (飲めない)","やや満足"
"五社","ごしゃ","豆史","まめし",29,"25-29","男",167,61.4,22,"大阪府","大学・大学院","大学 教育","専門的・技術的職業従事者","300万円～","未婚",NA,"毎日吸っている","ほとんど飲まない","やや満足"
"増野","ますの","愛生意","あおい",81,"80-84","男",163.9,66.1,24.6,"京都府","小学校・中学校","なし","無職その他","500万円～","有配偶",31,"時々吸う日がある","毎日","やや満足"
"安倍","あべ","明妃","あきひ",62,"60-64","女",154,65.9,27.8,"岐阜県","高校・旧中","なし","無職その他","300万円～","有配偶",26,"吸わない","飲まない (飲めない)","やや満足"
"瀬古","せこ","望","のあ",76,"75-79","女",148,48.4,22.1,"長野県","高校・旧中","なし","無職その他","100万円～","有配偶",35,"吸わない","飲まない (飲めない)","やや満足"
"河裾","かわすそ","眞凜","まり",45,"45-49","女",157.9,67.3,27,"北海道","高校・旧中","なし","事務従事者","200万円～","有配偶",25,"吸わない","週５-６日","やや満足"
"萩澤","はぎさわ","盛招","もりあき",59,"55-59","男",166.3,60.6,21.9,"神奈川県","小学校・中学校","なし","保安職業従事者","300万円～","有配偶",27,"毎日吸っている","毎日","やや満足"
"市ヶ谷","いちがたに","栄之進","ひでのしん",30,"30-34","男",174.7,72.6,23.8,"北海道","高校・旧中","なし","専門的・技術的職業従事者","700万円～","有配偶",30,"毎日吸っている","ほとんど飲まない","やや満足"
"大城戸","おおきど","羽穏","はのん",81,"80-84","男",163,70.4,26.5,"広島県","小学校・中学校","なし","無職その他","800万円～","死別",48,"以前は吸っていたが.１か月以上吸っていない","毎日","やや不満だ"
"萬徳","まんとく","優弦","ゆいと",39,"35-39","男",158.8,61.5,24.4,"広島県","高校・旧中","なし","無職その他","400万円～","未婚",NA,"毎日吸っている","飲まない (飲めない)","やや満足"
"八塩","やしお","鈴造","れいぞう",66,"65-69","男",155.4,55.3,22.9,"静岡県","大学・大学院","大学 人文科学","無職その他","1000万円～1500万円","有配偶",32,"吸わない","週５-６日","やや満足"
"渡植","とのうえ","吾由","あゆ",54,"50-54","男",170.8,68.8,23.6,"広島県","高校・旧中","なし","建設・採掘従事者","400万円～","有配偶",20,"吸わない","週５-６日","やや満足"
"搆口","かまえぐち","紘利","ひろき",36,"35-39","男",161.6,66.3,25.4,"岡山県","高校・旧中","なし","生産工程従事者","400万円～","有配偶",32,"毎日吸っている","週３-４日","やや満足"
"津岡","つおか","鈴緒","すずお",58,"55-59","女",150.1,50.7,22.5,"東京都","高校・旧中","なし","無職その他","300万円～","有配偶",22,"吸わない","ほとんど飲まない","やや不満だ"
"緑","みどり","宰之助","さいのすけ",34,"30-34","男",163.3,74.4,27.9,"愛知県","高校・旧中","なし","無職その他","200万円～","未婚",NA,"吸わない","ほとんど飲まない","やや満足"
"豊巻","とよまき","冴有","さゆ",34,"30-34","女",165.8,71.2,25.9,"福島県","大学・大学院","大学 教育","事務従事者","300万円～","有配偶",27,"吸わない","月に１-３日","やや満足"
"小祝","こいわい","有美那","ゆみな",32,"30-34","女",156.8,45.5,18.5,"北海道","高校・旧中","なし","無職その他","100万円以下","有配偶",27,"吸わない","ほとんど飲まない","満足"
"仲野谷","なかのや","望武","のぞむ",32,"30-34","男",178.1,90.1,28.4,"愛知県","高校・旧中","なし","無職その他","300万円～","有配偶",31,"毎日吸っている","毎日","やや満足"
"沙","いさご","満月","みつき",77,"75-79","男",166.4,56.2,20.3,"長崎県","小学校・中学校","なし","運搬・清掃・包装等従事者","300万円～","有配偶",27,"毎日吸っている","飲まない (飲めない)","やや不満だ"
"俵木","たわらぎ","浩優","ひろまさ",38,"35-39","男",170.1,60.8,21,"富山県","大学・大学院","大学 社会科学","生産工程従事者","400万円～","有配偶",36,"以前は吸っていたが.１か月以上吸っていない","飲まない (飲めない)","やや満足"
"瀬之口","せのくち","愛樺","あいか",35,"35-39","女",153.5,60.8,25.8,"大阪府","短大・高専","短大 教育","無職その他","100万円～","有配偶",27,"吸わない","週５-６日","満足"
"岩嶋","いわしま","侑杜季","ゆずき",61,"60-64","女",145.9,44.7,21,"広島県","短大・高専","短大 教育","無職その他","200万円～","有配偶",35,"吸わない","週１-２日","やや不満だ"
"但馬","たじま","満紀子","まきこ",41,"40-44","女",155.3,33.5,13.9,"愛知県","高校・旧中","なし","事務従事者","400万円～","有配偶",31,"吸わない","ほとんど飲まない","やや満足"
"長坂","ながさか","邦源","くにもと",69,"65-69","男",166.4,59,21.3,"静岡県","高校・旧中","なし","農林漁業従事者","500万円～","有配偶",26,"吸わない","毎日","やや不満だ"
"上家","じょうや","海哉","かいや",44,"40-44","男",167.5,91.5,32.6,"東京都","高校・旧中","なし","無職その他","600万円～","有配偶",35,"吸わない","飲まない (飲めない)","やや不満だ"
"関谷","せきたに","白羽","しらは",84,"80-84","男",151.1,43.2,18.9,"北海道","高校・旧中","なし","農林漁業従事者","400万円～","死別",28,"吸わない","毎日","満足"
"法里","ほうり","亜里瑳","ありさ",42,"40-44","女",164.2,41.5,15.4,"栃木県","大学・大学院","大学 保健","サービス職業従事者","300万円～","有配偶",33,"吸わない","飲まない (飲めない)","満足"
"泓田","ふけた","萌望春","ももは",42,"40-44","女",153.7,49.6,21,"熊本県","短大・高専","短大 保健","サービス職業従事者","200万円～","有配偶",27,"吸わない","飲まない (飲めない)","やや不満だ"
"伝庄","でんしょう","光星","みつせ",16,"15-19","女",152.5,47.4,20.4,"長崎県","小学校・中学校","なし","サービス職業従事者","700万円～","未婚",NA,"吸わない","飲まない (飲めない)","やや満足"
"粟津原","あわづはら","真愛","まめ",50,"50-54","女",156.1,66.3,27.2,"神奈川県","高校・旧中","なし","生産工程従事者","100万円～","有配偶",22,"吸わない","飲まない (飲めない)","やや満足"
"河添","かわそい","智華遥","ちはな",40,"40-44","女",164,51.6,19.2,"大阪府","短大・高専","短大 保健","生産工程従事者","200万円～","死別",30,"吸わない","飲まない (飲めない)","やや満足"
"舟谷","ふなたに","太晴","ひろはる",62,"60-64","男",168.7,52.9,18.6,"山形県","大学・大学院","大学 理学","販売従事者","300万円～","離別",31,"毎日吸っている","毎日","満足"
"黒坪","くろつぼ","文達","ふみたつ",16,"15-19","男",163.3,52.3,19.6,"秋田県","小学校・中学校","なし","無職その他","200万円～","未婚",NA,"吸わない","飲まない (飲めない)","満足"
"薩谷","さつたに","海空人","みくと",27,"25-29","男",173.3,60.7,20.2,"新潟県","大学・大学院","大学 保健","輸送・機械運転従事者","400万円～","有配偶",25,"毎日吸っている","ほとんど飲まない","やや満足"
"角方","かくほう","美矢乃","みやの",80,"80-84","女",159.2,63.1,24.9,"兵庫県","小学校・中学校","なし","無職その他","300万円～","死別",25,"毎日吸っている","飲まない (飲めない)","やや満足"
"神塚","かみづか","爽笑","さわ",54,"50-54","女",157.3,36.9,14.9,"福井県","高校・旧中","なし","無職その他","400万円～","有配偶",33,"吸わない","月に１-３日","やや満足"
"柳津","やなぎつ","寄彦","よりひこ",61,"60-64","男",164.5,69,25.5,"静岡県","高校・旧中","なし","生産工程従事者","500万円～","有配偶",27,"毎日吸っている","週３-４日","やや満足"
